,BILL_MONTH,DIVISION,SUB_DIVISION,Billing for Jan 23,METER_STATUS,BILL_STATUS,REALIZATION_PAYMENT,TOTAL_CURRENT_BILL,TOTAL_CURRENT_BILL_AFTHLKADJ,TOTAL_BILLDED_ARREAR_AMT_DF,TOTAL_BILLDED_ARR_AMT_MEPDCL,tot_bill
0,Jan-23,WEILOI,EAST KHASI HILL,489,OK,ACT,490,493.5,493.5,0,0,987
1,Jan-23,WEILOI,EAST KHASI HILL,274.76,OK,ACT,800,276.14,276.14,528.64,0,1080.92
2,Jan-23,WEILOI,EAST KHASI HILL,10.95,OK,ACT,10,11.1,11.1,0,0,22.2
3,Jan-23,WEILOI,EAST KHASI HILL,174.1,OK,ACT,,175.9,175.9,0.02,0,351.82
4,Jan-23,WEILOI,EAST KHASI HILL,139.26,OK,ACT,700,140.16,140.16,551.6,0,831.92
5,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,0
6,Jan-23,WEILOI,EAST KHASI HILL,44.22,OK,ACT,,44.72,44.72,771.9,0,861.34
7,Jan-23,WEILOI,EAST KHASI HILL,69.2,OK,ACT,70,69.6,69.6,0,0,139.2
8,Jan-23,WEILOI,EAST KHASI HILL,805.4,OK,ACT,810,810.1,810.1,0,0,1620.2
9,Jan-23,WEILOI,EAST KHASI HILL,0,OK,BACKEND,,,0,0,0,0
11,Jan-23,WEILOI,EAST KHASI HILL,25.55,OK,ACT,25,25.9,25.9,0,0,51.8
12,Jan-23,WEILOI,EAST KHASI HILL,290.61,OK,ACT,810,291.03,291.03,510.88,0,1092.94
13,Jan-23,WEILOI,EAST KHASI HILL,417,OK,ACT,,422.25,422.25,0,0,844.5
14,Jan-23,WEILOI,EAST KHASI HILL,183,OK,ACT,184,184.5,184.5,0,0,369
15,Jan-23,WEILOI,EAST KHASI HILL,124.79,OK,ACT,,125.94,125.94,83.8,0,335.68
16,Jan-23,WEILOI,EAST KHASI HILL,233.6,OK,ACT,,236.8,236.8,0,0,473.6
17,Jan-23,WEILOI,EAST KHASI HILL,375.7,OK,ACT,,379.55,379.55,0,0,759.1
18,Jan-23,WEILOI,EAST KHASI HILL,999.5,OK,ACT,1003,1002.08,1002.08,0,0,2004.16
20,Jan-23,WEILOI,EAST KHASI HILL,111.46,OK,ACT,,112.41,112.41,213.63,0,438.45
21,Jan-23,WEILOI,EAST KHASI HILL,188.45,OK,ACT,,191,191,233.1,0,615.1
